latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.53160433,40.48489746,28.5406,0.8405,"POLYGON((40.4849219391527 -12.5316285012536, 40.4849209236757 -12.5315792073477, 40.4848729733076 -12.5315801607665, 40.4848739887754 -12.5316294546735, 40.4849219391527 -12.5316285012536))",5HV2FF9M+9X2W
-12.52993695,40.52179000,27.7316,0.7642,"POLYGON((40.5218248042588 -12.5299502319707, 40.5218202933193 -12.5299155109452, 40.5217551812964 -12.5299236759791, 40.5217596922276 -12.5299583970067, 40.5218248042588 -12.5299502319707))",5HV2FGCC+2PFF
-12.53093896,40.48509048,15.2192,0.7510,"POLYGON((40.4851098022929 -12.5309557255895, 40.4851120058753 -12.5309250294991, 40.4850711314086 -12.5309221973363, 40.4850689278213 -12.5309528934269, 40.4851098022929 -12.5309557255895))",5HV2FF9P+J2GH
-12.53132447,40.48531917,17.5293,0.7055,"POLYGON((40.4853439852366 -12.5313135579802, 40.485308904419 -12.5312997319949, 40.4852943432393 -12.5313353925545, 40.4853294240615 -12.5313492185413, 40.4853439852366 -12.5313135579802))",5HV2FF9P+F4G2
-12.53164461,40.48504124,15.4506,0.7493,"POLYGON((40.4850623827314 -12.5316612104696, 40.4850659334972 -12.5316337312633, 40.4850200877167 -12.5316280133905, 40.485016536946 -12.5316554925968, 40.4850623827314 -12.5316612104696))",5HV2FF9P+82V7
-12.53126688,40.48526967,26.7064,0.8312,"POLYGON((40.4853012262835 -12.5312552536177, 40.4852538497011 -12.5312376418915, 40.4852381149711 -12.5312784963294, 40.4852854915605 -12.5312961080576, 40.4853012262835 -12.5312552536177))",5HV2FF9P+F4R8
-12.53128743,40.48534078,13.9998,0.7153,"POLYGON((40.4853647374917 -12.5312813423562, 40.4853285051258 -12.5312663387511, 40.4853168427396 -12.5312935223273, 40.485353075109 -12.5313085259336, 40.4853647374917 -12.5312813423562))",5HV2FF9P+F4PH
-12.53118667,40.48522849,32.8649,0.8169,"POLYGON((40.4852031464374 -12.5311537077352, 40.48518646247 -12.5311857258224, 40.4852538456754 -12.531219616013, 40.4852705296356 -12.5311875979225, 40.4852031464374 -12.5311537077352))",5HV2FF9P+G3HF
-12.53147193,40.48550001,13.6775,0.7309,"POLYGON((40.4855112694718 -12.5314927844082, 40.4855206813093 -12.5314599033736, 40.4854887433027 -12.531451079599, 40.4854793314612 -12.531483960633, 40.4855112694718 -12.5314927844082))",5HV2FF9P+C662
-12.53077724,40.48513471,15.3056,0.7293,"POLYGON((40.4851561227962 -12.5307631313544, 40.4851157521652 -12.5307601016128, 40.4851133239999 -12.530791330586, 40.4851536946357 -12.5307943603274, 40.4851561227962 -12.5307631313544))",5HV2FF9P+M3JV
